перен.:разг.:3635
разг.:устар.:2794
поэт.:устар.:1864
поэт.:разг.:1703
перен.:устар.:866
прост.:устар.:806
перен.:прост.:600
прост.:разг.:594
действие:разг.:539
неодобр.:разг.:509
разг.:шутл.:471
жарг.:разг.:457
разг.:сниж.:420
пренебр.:разг.:411
книжн.:устар.:406
действие:устар.:384
диал.:устар.:352
жарг.:перен.:344
книжн.:перен.:335
ирон.:разг.:329
истор.:разг.:319
разг.:соотн.:317
истор.:перен.:311
знач.:сказуемого:300
книжн.:свойство:283
разг.:спец.:281
соотн.:устар.:271
истор.:устар.:258
нареч.:знач.:256
действие:перен.:247
действие:спец.:239
перен.:соотн.:237
перен.:спец.:236
нареч.:сказуемого:229
военн.:истор.:220
обл.:устар.:218
ирон.:шутл.:213
неодобр.:перен.:212
жарг.:мол.:191
разг.:собир.:190
без:доп.:187
военн.:перен.:178
высок.:устар.:175
мед.:соотн.:172
разг.:обычно:168
истор.:соотн.:168
нареч.:перен.:166
перен.:пренебр.:166
перен.:техн.:164
обл.:разг.:163
разг.:техн.:158
действие:книжн.:156
разг.:спорт.:153
неол.:разг.:151
перен.:шутл.:147
разг.:фам.:146
разг.:умласк.:144
разг.:субстантивир.:143
спец.:устар.:142
военн.:разг.:141
перен.:религ.:140
женск.:разг.:140
книжн.:соотн.:140
перен.:спорт.:138
неодобр.:прост.:137
нареч.:разг.:136
аббр.:разг.:136
соотн.:спец.:136
проф.:разг.:135
мед.:перен.:133
перен.:поэт.:132
безл.:разг.:131
военн.:устар.:129
разг.:экспр.:127
действие:прост.:126
разг.:свойство:125
биол.:мед.:121
лингв.:соотн.:120
ирон.:устар.:115
разг.:совершить:115
пренебр.:прост.:114
перен.:свойство:113
обычно:мн.:112
жарг.:прост.:112
жарг.:неол.:111
аббр.:военн.:111
жарг.:устар.:110
перен.:физ.:109
перен.:обычно:109
однокр.:разг.:109
разг.:эвф.:106
мед.:разг.:106
ирон.:перен.:106
разг.:знач.:104
истор.:полит.:104
прост.:шутл.:104
неперех.:разг.:103
презр.:разг.:103
соотн.:хим.:101
действие:техн.:100
