жарг. разг. эвф.
перен.
обсц.
действие
действие
разг.
разг. междомет.
перен. филол. шутл.
анат.
горн. разг. спорт. техн.
разг. разговорн.
ед. ч. разг. спорт. \ в сочетании с [[поехать]]/[[ехать]]/[[быть]] [[в]] и т. п.
цвет:
прич.
истор. мн. ч. перен. спорт. субстантивир. устар. только ср. р. только ж. р.
ед. ч. книжн. перен. поэт. разг. собир. спец. физ. в уст. словосочет. (ты\ вы\ Вы\ он\ она\ оно) [[мой цвет]] с доп. чего?
(ср. рода\ если нет уточняющего существительного)
несклон.\ в качестве сущ. ср. р.
прост. устар.
вводн. диал. редк. союз межд.
разг.
разг.
книжн. лингв. обл. устар. употр. с предл. п. (о ком\ о чём) употр. с вин. п. (о кого\ обо что) в сочетаниях\ имеющих значение наречия и состоящих из существительного в им. и того же существительного в вин. самост.
нар.-поэт. разг. устар. союзное слово изъяснительный сравнительный условно-следственный временной
ласк. разг.
ласк. обл. разг.
разг.
прост. разг.
устар. церк.-слав. с вин. п. с предл. п. в конструкциях вида «''существительное (им. п.) в существительное (вин. п.)''»
нареч. перен. разг. в знач. сказуемого
нареч. перен. разг. предикатив
перен.
перен. разг.
высок. исч. книжн. мн. ч. неисч. офиц. перен. церк.
прост. устар.
жарг.
болг. с вин. п. с твор. п. причерноморск. субстантив.
чего и с инф.
чего
книжн. разг.
нареч. разг. част.
нареч. разг. в знач. сказуемого \ в знач. междометия\ с восклицательной интонацией
нареч.
предик. частица в противопоставительных конструкциях в лозунгах
прост.
ирон.
устар. в значении сказуемого
нареч. в знач. вводного слова в знач. утвердительной частицы
указывает на [[отсутствие]] кого-либо или чего-либо указывает на [[мера
прост. с вин. п. с твор. п. с род. п.
прост.
хим.
ботан.
диал.
книжн. прост. разг. устар. церк.
истор. карт. кулин. перен. шахм. во что-л. (о свете\ запахе\ звуке {{итп о хлебе на корню о стрелковом оружии и стрелка́х о болезни (о фигуре или пешке) в некоторых играх о карте\ в некоторых играх
перен. разг.
нареч. пренебр. прост. союз частица
в знач. наречия
лингв.
